0,1,2,3,4,5,6,7,8,9,10
30.5,49.5,0,0,0,0,20,0,0,0,0
45,5,20,25,0,0,5,0,0,0,0
49.5,49.5,0,0,0,0,1,0,0,0,0
48.2,49.8,0,0,0,2,0,0,0,0,0
40.2,49.8,0,0,0,10,0,0,0,0,0
50.2,18.3,20,0,0,0,0,11.5,0,0,0
50.2,23.3,15,0,0,0,0,11.5,0,0,0
40.5,49.5,0,0,0,0,10,0,0,0,0
50,20,30,0,0,0,0,0,0,0,0
45,0,50,0,5,0,0,0,0,0,0
45,10,20,20,0,0,5,0,0,0,0
49,50,0,0,1,0,0,0,0,0,0
50.2,18.3,20,0,0,0,0,11.5,0,0,0
45,0,40,0,0,0,5,0,10,0,0
45,0,0,50,0,0,5,0,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
50,42.5,0,0,0,0,0,7.5,0,0,0
50,0,0,12.5,0,0,0,0,0,37.5,0
46.28,53.72,0,0,0,0,0,0,0,0,0
45,0,25,25,0,0,5,0,0,0,0
50,0,0,50,0,0,0,0,0,0,0
35,45,0,0,0,0,15,5,0,0,0
50,20,30,0,0,0,0,0,0,0,0
50,0,45,0,0,0,0,0,0,4,0
48.75,50,0,0,0,0,0,0,0,0,1.25
50,5,45,0,0,0,0,0,0,0,0
50,29,21,0,0,0,0,0,0,0,0
50.2,30.9,9.9,0,0,0,0,9,0,0,0
50,32.2,12.8,0,0,0,0,0,0,0,0
48.9,46.1,0,0,0,0,0,5,0,0,0
50,39,11,0,0,0,0,0,0,0,0
50,37,13,0,0,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0
44.2,49.8,0,0,0,6,0,0,0,0,0
47.5,49.5,0,0,0,0,3,0,0,0,0
50,0,42,0,0,0,0,0,0,8,0
49.35,50,0,0,0,0,0,0,0,0,0.65
39.2,49.8,0,0,0,11,0,0,0,0,0
48,50,0,0,2,0,0,0,0,0,0
40,0,55,0,5,0,0,0,0,0,0
49.9,50,0,0,0.1,0,0,0,0,0,0
35.5,49.5,0,0,0,0,15,0,0,0,0
16.6667,45,0,0,0,16.6667,16.6667,5,0,0,0
40,0,55,0,5,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0
42.2,49.8,0,0,0,8,0,0,0,0,0
50,45,0,0,0,0,0,5,0,0,0
49.9,50,0,0,0,0,0,0,0,0,0.1
50.2,33.3,5,0,0,0,0,11.5,0,0,0
50,45,5,0,0,0,0,0,0,0,0
50,45,0,0,0,0,0,5,0,0,0
50.5,28.5,0,21,0,0,0,0,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
45,0,50,0,0,0,0,0,0,0,5
50,0,42,0,0,0,0,0,8,0,0
37.75,59.66,0,0,0,0,0,2.59,0,0,0
50,41,9,0,0,0,0,0,0,0,0
45,50,0,0,5,0,0,0,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
40,0,55,0,0,0,5,0,0,0,0
50.8,44.3,0,0,0,0,0,5,0,0,0
50,0,46,0,0,0,0,0,4,0,0
50,0,48,0,0,0,0,0,2,0,0
35,47,0,0,0,0,15,3,0,0,0
40,0,50,0,0,0,10,0,0,0,0
50,29.1,9.4,0,0,0,0,11.5,0,0,0
50,15,35,0,0,0,0,0,0,0,0
16.6667,50,0,0,0,16.6667,16.6667,0,0,0,0
50,39,11,0,0,0,0,0,0,0,0
50,0,0,50,0,0,0,0,0,0,0
45,0,35,15,0,0,5,0,0,0,0
49.1,45.9,0,0,0,0,0,5,0,0,0
50,29,21,0,0,0,0,0,0,0,0
50,0,0,37.5,0,0,0,0,0,12.5,0
50,45,5,0,0,0,0,0,0,0,0
49.5,45.5,0,0,0,0,0,5,0,0,0
43,0,50,0,0,0,7,0,0,0,0
49,50,0,0,0,0,0,0,0,0,1
50.5,24.5,25,0,0,0,0,0,0,0,0
40,0,50,0,2.5,0,2.5,0,0,0,0
51,44,0,0,0,0,0,5,0,0,0
49.7,45.3,0,0,0,0,0,5,0,0,0
35,50,0,0,0,0,15,0,0,0,0
45,2,40,0,0,0,5,0,8,0,0
45.2,54.8,0,0,0,0,0,0,0,0,0
45,0,50,0,0,0,5,0,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
50.2,30.9,9.9,0,0,0,0,9,0,0,0
45,0,45,5,0,0,5,0,0,0,0
40,0,55,0,0,0,5,0,0,0,0
46.2,49.8,0,0,0,4,0,0,0,0,0
49.8,27.6,8.6,0,0,0,0,14,0,0,0
50,0,50,0,0,0,0,0,0,0,0
50.5,19.5,30,0,0,0,0,0,0,0,0
50,35,15,0,0,0,0,0,0,0,0
45,0,50,0,0,0,5,0,0,0,0
50,0,0,45,0,0,0,0,5,0,0
44,50,0,0,6,0,0,0,0,0,0
40,0,55,0,0,5,0,0,0,0,0
50.5,3.5,46,0,0,0,0,0,0,0,0
45.03,54.97,0,0,0,0,0,0,0,0,0
40,0,55,0,0,5,0,0,0,0,0
50,20,30,0,0,0,0,0,0,0,0
50,41.9,3.1,0,0,0,0,0,0,0,0
50,29.1,9.4,0,0,0,0,11.5,0,0,0
45,0,15,35,0,0,5,0,0,0,0
45,0,50,0,0,0,0,0,0,0,0
50,39.2,5.8,0,0,0,0,0,0,0,0
50,0,0,25,0,0,0,0,0,25,0
50.2,33.3,5,0,0,0,0,11.5,0,0,0
50,33,17,0,0,0,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0
45,0,50,0,0,0,5,0,0,0,0
50.5,24.5,25,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0
45,0,50,0,0,0,0,0,0,0,0
49.8,27.6,8.6,0,0,0,0,14,0,0,0
50,35,15,0,0,0,0,0,0,0,0
50.2,23.3,15,0,0,0,0,11.5,0,0,0
50,0,46,0,0,0,0,0,4,0,0
45.2,54.8,0,0,0,0,0,0,0,0,0
49.8,27.6,8.6,0,0,0,0,14,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
45,0,50,0,0,5,0,0,0,0,0
50,43,7,0,0,0,0,0,0,0,0
50,47.5,0,0,0,0,0,2.5,0,0,0
49,46,0,0,0,0,0,5,0,0,0
50.5,19.5,30,0,0,0,0,0,0,0,0
27.2,50.5,0,0,0,22.3,0,0,0,0,0
49.75,50,0,0,0,0,0,0,0,0,0.25
50.3,44.8,0,0,0,0,0,5,0,0,0
49.3,45.7,0,0,0,0,0,5,0,0,0
50,30,20,0,0,0,0,0,0,0,0
50.2,30.9,9.9,0,0,0,0,9,0,0,0
48.8,46.2,0,0,0,0,0,5,0,0,0
16.6667,35,0,0,0,16.6667,16.6667,15,0,0,0
45,0,50,0,0,0,0,0,0,0,5
50,0,46,0,0,0,0,0,4,0,0
45,0,0,50,0,5,0,0,0,0,0
45,5,20,25,0,0,5,0,0,0,0
35,35,0,0,0,0,15,15,0,0,0
50.5,44.5,0,0,0,0,0,5,0,0,0
35,40,0,0,0,0,15,10,0,0,0
45,0,50,0,0,5,0,0,0,0,0
50,0,50,0,0,0,0,0,0,0,0
45,10,20,20,0,0,5,0,0,0,0
50,33,17,0,0,0,0,0,0,0,0
51.5,43.5,0,0,0,0,0,5,0,0,0
50.5,29.5,20,0,0,0,0,0,0,0,0
50,0,37.5,0,0,0,0,0,0,12.5,0
50.2,33.3,5,0,0,0,0,11.5,0,0,0
